	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
454	冠状动脉粥样硬化性心脏病肥胖患者证素特点及与理化指标的相关性研究	吴丽凡	福建中医药大学	硕士	2020	12	417	原版阅读      CNKI AI阅读
455	针刺埋线联合中药内服治疗脾虚湿胜型肥胖的临床观察	钟冰	广西中医药大学	硕士	2020	3	310	原版阅读      CNKI AI阅读
456	电针联合限食对胰岛素抵抗肥胖大鼠肠道微生物群-肠-脑轴的影响及机制研究	宋爱群	湖北中医药大学	博士	2020	10	1141	原版阅读      CNKI AI阅读
457	大柴胡汤合桂枝茯苓丸治疗肥胖2型糖尿病肝胃郁热夹瘀证的临床研究	黄洁桦	广西中医药大学	硕士	2020	9	366	原版阅读      CNKI AI阅读
458	推拿结合针刺对学龄期单纯性肥胖儿童干预效果的临床研究	李俊婵	广西中医药大学	硕士	2020	8	473	原版阅读      CNKI AI阅读
459	基于温阳益气方的服饵辟谷（轻断食）法治疗肥胖型非酒精性脂肪性肝病临床研究	余曼琪	湖北中医药大学	硕士	2020	8	719	原版阅读      CNKI AI阅读
460	电针通过SIRT1调控NF-κB炎症信号通路改善胰岛素抵抗肥胖大鼠胃肠动力的机制研究	王文炎	湖北中医药大学	博士	2020	21	998	原版阅读      CNKI AI阅读
461	消脂方治疗单纯性肥胖的临床疗效观察及作用机制初探	孙怡婕	上海中医药大学	博士	2020	2	493	原版阅读      CNKI AI阅读
462	电针联合走罐法治疗脾虚湿盛型单纯性肥胖并发高脂血症的临床研究	黄梦	湖北中医药大学	硕士	2020	9	365	原版阅读      CNKI AI阅读
463	针刺结合饮食疗法治疗脾虚湿阻型单纯性腹型肥胖患者的临床疗效观察	王艳	上海中医药大学	硕士	2020	3	199	原版阅读      CNKI AI阅读
464	芪贞颗粒治疗气虚型腹型肥胖的临床研究	顾嘉明	上海中医药大学	硕士	2020		75	原版阅读      CNKI AI阅读
465	力量锻炼联合地屈孕酮对非肥胖型多囊卵巢综合征患者干预的实验研究	吴隽	福建师范大学	硕士	2020	2	184	原版阅读      CNKI AI阅读
466	和中降浊调糖饮对肥胖2型糖尿病（消渴病）痰浊中阻证肠道菌群的研究	张平	河南中医药大学	硕士	2020	2	236	原版阅读      CNKI AI阅读
467	针刺配合耳压治疗单纯性肥胖（痰湿体质）的临床观察及机理探讨	刘梦薇	南京中医药大学	博士	2020	8	1061	原版阅读      CNKI AI阅读
468	不同针灸疗法治疗单纯性肥胖的临床比较研究	唐琳洁	湖北中医药大学	硕士	2020	5	605	原版阅读      CNKI AI阅读
469	电针结合生活方式干预治疗单纯性肥胖并发高尿酸血症的临床研究	金熠婷	湖北中医药大学	硕士	2020	15	308	原版阅读      CNKI AI阅读
470	基于DOHaD理论探讨孕前和孕期肥胖对子代呼吸系统疾病的影响及其机制	刘书方	北京中医药大学	博士	2020	1	447	原版阅读      CNKI AI阅读
471	消渴健脾胶囊对脾虚湿盛型2型糖尿病肥胖患者血清瘦素的影响	迪拉热·阿布来	新疆医科大学	硕士	2020	3	154	原版阅读      CNKI AI阅读
472	健脾清热利湿汤治疗老年2型糖尿病伴腹型肥胖临床观察	牛森	云南中医药大学	硕士	2020	7	241	原版阅读      CNKI AI阅读
473	基于期刊文献对近10年单纯性肥胖和超重证治特点的研究	汪洋	辽宁中医药大学	硕士	2020	9	368	原版阅读      CNKI AI阅读
474	数据挖掘和网络药理学的肥胖中药组方用药规律及高频药物作用研究	吕任尧	辽宁中医药大学	硕士	2020	2	554	原版阅读      CNKI AI阅读
475	补肾化痰法调控肥胖型PCOS雌鼠子宫内膜VEGF/Akt通路的机制研究	田雪梅	成都中医药大学	硕士	2020	4	206	原版阅读      CNKI AI阅读
476	基于文献研究中医治疗单纯性肥胖用药规律探析	成雅	湖南中医药大学	硕士	2020	5	608	原版阅读      CNKI AI阅读
477	电针治疗食源性肥胖大鼠效应差异的mTOR/S6K1自噬机制研究	姚俊鹏	成都中医药大学	硕士	2020	13	328	原版阅读      CNKI AI阅读
478	核酪注射液结合蒙药日轮丸对过敏性鼻炎肥胖型大鼠代谢组学研究	王馨	内蒙古医科大学	硕士	2020	4	147	原版阅读      CNKI AI阅读
479	196例伴肥胖的斑块型银屑病患者的临床分析	董玲玲	天津中医药大学	硕士	2020	1	206	原版阅读      CNKI AI阅读
480	穴位埋线配合热敏灸治疗脾虚湿阻型单纯性肥胖的临床研究	陈斌	广州中医药大学	硕士	2020	3	297	原版阅读      CNKI AI阅读
481	化脂丸对痰湿内盛型原发性肥胖患者肠道微生态的干预研究	买尔孜古丽·吐尔逊	新疆医科大学	硕士	2020	2	281	原版阅读      CNKI AI阅读
482	穴位埋线配合耳穴贴压治疗单纯性肥胖（脾虚湿盛型）的临床研究	于美玲	长春中医药大学	硕士	2020	9	401	原版阅读      CNKI AI阅读
483	非肥胖型多囊卵巢综合征发病相关因素及中医证候分布规律的研究	黄灿灿	甘肃中医药大学	硕士	2020	11	520	原版阅读      CNKI AI阅读
484	肥胖与非肥胖多囊卵巢综合征患者中医体质、性激素与胰岛素水平的对比性研究	赵欣	成都中医药大学	硕士	2020	8	267	原版阅读      CNKI AI阅读
485	利拉鲁肽胃肠道不良反应与超重/肥胖2型糖尿病患者中医证型的相关性研究	张丽微	成都中医药大学	硕士	2020	5	193	原版阅读      CNKI AI阅读
486	联合“清湿膳食”餐包的禁食模拟饮食干预痰湿体质超重/肥胖人群的探索研究	林少琴	广州中医药大学	硕士	2020	4	324	原版阅读      CNKI AI阅读
487	补肾调周法治疗非肥胖型多囊卵巢综合征的临床疗效观察	张莹	南京中医药大学	硕士	2020	3	366	原版阅读      CNKI AI阅读
488	健脾化痰法治疗肥胖型多囊卵巢综合征的临床疗效观察	符蓉	南京中医药大学	硕士	2020	2	258	原版阅读      CNKI AI阅读
489	初发青年超重/肥胖高血压患者临床代谢特征分析及与中医病机特点相关性研究	华铮	南京中医药大学	硕士	2020	3	383	原版阅读      CNKI AI阅读
490	甲状腺功能正常人群甲功与肥胖度及中医体质相关性分析	董自蓬	南京中医药大学	硕士	2020		193	原版阅读      CNKI AI阅读
491	针刀干预对单纯性肥胖大鼠下丘脑能量调节中枢NPY/POMC的影响	孙爽	湖北中医药大学	硕士	2020	8	252	原版阅读      CNKI AI阅读
492	参术荷叶汤治疗肥胖型2型糖尿病脾虚痰浊证的临床观察	林俊良	南京中医药大学	硕士	2020	15	446	原版阅读      CNKI AI阅读
493	芪珠方治疗肥胖型非酒精性脂肪性肝病的临床及实验研究	董灿	南京中医药大学	博士	2020	5	732	原版阅读      CNKI AI阅读
494	清肝滋肾方干预肥胖高血压心脏损害的效应和机制研究	朱尧	南京中医药大学	博士	2020	7	549	原版阅读      CNKI AI阅读
495	燮和饮治疗肥胖型青春期PCOS患者的临床观察及对CRP、IL6、IL8的影响	卢雯湉	南京中医药大学	硕士	2020	11	459	原版阅读      CNKI AI阅读
496	温针灸结合电针治疗痰湿质腹型肥胖的临床研究	虞逸舒	南京中医药大学	硕士	2020	14	404	原版阅读      CNKI AI阅读
497	清肝滋肾方对肥胖高血压患者血压变异性影响的临床研究	张淑洁	南京中医药大学	硕士	2020	4	256	原版阅读      CNKI AI阅读
498	老年超重和肥胖患者常见中医体质类型的临床研究	李耀兵	新疆医科大学	硕士	2020	10	294	原版阅读      CNKI AI阅读
499	针刺治疗肥胖型多囊卵巢综合征疗效研究	陈龙安	广州中医药大学	硕士	2019	5	245	原版阅读      CNKI AI阅读
500	健脾祛湿法配合低碳水化合物膳食对脾虚痰湿型单纯性肥胖的疗效研究	刘天	广州中医药大学	硕士	2019	1	227	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
501	活血潜阳祛痰方对肥胖高血压心肌肥厚的临床疗效及基于SIRT1/PGC-1α通路的机制探讨	董振华	上海中医药大学	博士	2019	4	331	原版阅读      CNKI AI阅读
502	补肾化痰活血法联合CC治疗肥胖型PCOS不孕的临床观察	陈亿慧	山东中医药大学	硕士	2019	1	122	原版阅读      CNKI AI阅读
503	葫桂连荷汤治疗初发肥胖2型糖尿病脾肾阳虚证的临床观察	王玉	山东中医药大学	硕士	2019	9	122	原版阅读      CNKI AI阅读
504	平肝化痰通络汤干预肥胖相关性高血压及对血尿酸、同型半胱氨酸的影响	邱璐	山东中医药大学	硕士	2019		68	原版阅读      CNKI AI阅读
505	糖尿病下肢血管病变肥胖患者中医体质及其与炎性指标的相关性研究	李小红	山东中医药大学	硕士	2019	3	109	原版阅读      CNKI AI阅读
506	基于脂肪能量代谢探讨背俞穴埋线对OVX大鼠肥胖的作用机制	金颖	辽宁中医药大学	博士	2019	21	893	原版阅读      CNKI AI阅读
507	化浊通瘀汤治疗肥胖型PCOS-IR痰瘀互结证的临床观察	洪晓洁	黑龙江中医药大学	硕士	2019	5	230	原版阅读      CNKI AI阅读
508	穴位埋线治疗单纯性肥胖单穴与腧穴配伍的临床疗效观察	刘超	长春中医药大学	硕士	2019	8	314	原版阅读      CNKI AI阅读
509	基于数据挖掘超重/肥胖糖尿病中医证候分布特点及用药规律	张雪辰	辽宁中医药大学	硕士	2019	12	539	原版阅读      CNKI AI阅读
510	平陈汤对脾虚痰湿型肥胖大鼠干预作用的研究	聂钰松	湖南中医药大学	硕士	2019	6	269	原版阅读      CNKI AI阅读
511	加味温胆汤抗雌性大鼠营养性肥胖的机制研究	刘超	江西中医药大学	硕士	2019	2	159	原版阅读      CNKI AI阅读
512	加味温胆汤抗雄性大鼠营养性肥胖的研究	王非云	江西中医药大学	硕士	2019	5	115	原版阅读      CNKI AI阅读
513	围绝经期肥胖痰证肝郁患者的证素兼杂与脂肪因子含量及雌激素受体表达关系的研究	范慧娟	福建中医药大学	硕士	2019	4	261	原版阅读      CNKI AI阅读
514	针灸治疗脾虚痰湿型腹型单纯性肥胖合并胰岛素抵抗的临床研究	岑文	广西中医药大学	硕士	2019	15	467	原版阅读      CNKI AI阅读
515	针灸治疗腹型肥胖诊疗规律探讨	陈殷殷	中国中医科学院	硕士	2019	16	899	原版阅读      CNKI AI阅读
516	阴阳调理灸结合电针改善单纯性肥胖患者痰湿体质的临床研究	王丽	湖北中医药大学	硕士	2019	14	643	原版阅读      CNKI AI阅读
517	电针对胰岛素抵抗肥胖大鼠白色脂肪组织ApN/Leptin/Resistin表达的影响	胡冰林	湖北中医药大学	硕士	2019	8	176	原版阅读      CNKI AI阅读
518	穴位埋线结合艾灸治疗胃热湿阻型单纯性肥胖的临床研究	周武	湖北中医药大学	硕士	2019	5	544	原版阅读      CNKI AI阅读
519	调理三焦法穴位埋线治疗单纯性肥胖的临床观察	杜涵哲	广西中医药大学	硕士	2019	9	391	原版阅读      CNKI AI阅读
520	北京市朝阳区团结湖社区超重、肥胖患者的中医证素、证型分布规律研究	杨芳	山西中医药大学	硕士	2019	7	319	原版阅读      CNKI AI阅读
521	消脂方联合盐酸二甲双胍治疗肥胖型多囊卵巢综合征的临床疗效观察	杨羽诚	上海中医药大学	硕士	2019	3	181	原版阅读      CNKI AI阅读
522	电针调控SIRT1/NF-κB炎性信号通路改善胰岛素抵抗肥胖的表观遗传学机制研究	黄琪	湖北中医药大学	博士	2019	31	1168	原版阅读      CNKI AI阅读
523	穴位埋线干预单纯性肥胖的临床研究	张柯培	上海中医药大学	硕士	2019	2	245	原版阅读      CNKI AI阅读
524	基于证素辨证的丁学屏教授治疗湿热蕴脾证肥胖患者诊疗方案的临床观察	高旸	上海中医药大学	硕士	2019		115	原版阅读      CNKI AI阅读
525	调脂降糖片对肥胖型痰瘀互结证2型糖尿病患者干预作用的临床观察	翁良玉	上海中医药大学	硕士	2019	3	143	原版阅读      CNKI AI阅读
526	连陈汤治疗单纯性肥胖的疗效观察及对血清TNF-α、Chemerin的影响	周海丽	黑龙江中医药大学	硕士	2019	5	155	原版阅读      CNKI AI阅读
527	苍矢通络汤治疗冠心病心绞痛合并超重/肥胖痰瘀阻络证的临床观察	孙玲	湖南中医药大学	硕士	2019	2	93	原版阅读      CNKI AI阅读
528	从免疫炎症反应角度探讨温胆汤干预肥胖痰湿证的内在机制	舒晴	江西中医药大学	硕士	2019	5	342	原版阅读      CNKI AI阅读
529	俞募配穴埋线治疗单纯性肥胖临床研究	黄旗中	广州中医药大学	硕士	2019	1	230	原版阅读      CNKI AI阅读
530	佛山地区痰湿质单纯性肥胖及其相关并发症的临床研究	黄玉萍	广州中医药大学	硕士	2019	3	186	原版阅读      CNKI AI阅读
531	体重管理结合补气化痰活血方对肥胖痰瘀型PCOS患者的临床观察	刘语涵	广州中医药大学	硕士	2019	2	229	原版阅读      CNKI AI阅读
532	健脾利湿化痰法治疗超重或肥胖合并早期糖代谢紊乱患者的临床研究	肖维佳	广州中医药大学	硕士	2019	4	159	原版阅读      CNKI AI阅读
533	补脾泻湿法治疗单纯性肥胖的临床研究	熊炜	成都中医药大学	硕士	2019	2	327	原版阅读      CNKI AI阅读
534	肥胖型与非肥胖型多囊卵巢综合征患者临床特征、中医体质及人格特征的对比研究	王雅琴	成都中医药大学	硕士	2019	15	513	原版阅读      CNKI AI阅读
535	补肾化痰法经Sphk1/S1P-PI3K/AKT/CyclinD1信号通路调控肥胖PCOS模型雌鼠子宫内膜容受性机制研究	张淼	成都中医药大学	硕士	2019	8	441	原版阅读      CNKI AI阅读
536	化痰祛湿方预防大鼠肥胖型少弱精子症及其氧化应激机制研究	董阳	北京中医药大学	硕士	2019	9	396	原版阅读      CNKI AI阅读
537	超重/肥胖2型糠尿病患者伴焦虑抑郁状态HPA轴功能变化及与中医证型的相关性研究	高阳	成都中医药大学	硕士	2019	5	334	原版阅读      CNKI AI阅读
538	肥胖患者相关指标与中医体质的相关性及李鸣镝主任治疗经验总结	艾玉珍	北京中医药大学	硕士	2019	11	598	原版阅读      CNKI AI阅读
539	针药结合治疗肥胖型多囊卵巢综合征的临床观察	邢雅雯	北京中医药大学	硕士	2019	11	646	原版阅读      CNKI AI阅读
540	不同频率电针对肥胖型多囊卵巢综合征针刺疗效的影响	富小菲	北京中医药大学	硕士	2019	7	516	原版阅读      CNKI AI阅读
541	加味启宫丸对肥胖型PCOS模型小鼠FSH、LH的影响研究	宋传鹏	遵义医科大学	硕士	2019		225	原版阅读      CNKI AI阅读
542	电针联合走罐法对肥胖型PCOS患者垂体激素及糖脂代谢影响的临床研究	饶龙	陕西中医药大学	硕士	2019	4	271	原版阅读      CNKI AI阅读
543	电针调控肥胖模型小鼠慢性炎症水平和肠道通透性的机制研究	陈桥桥	成都中医药大学	硕士	2019	2	283	原版阅读      CNKI AI阅读
544	减重对肥胖型PCOS反复种植失败患者妊娠结局、中医证候积分及Th1/2/17细胞因子和NK细胞活性的影响	李敏	安徽中医药大学	硕士	2020	2	181	原版阅读      CNKI AI阅读
545	腑行养颜膏对胃肠实热型2型糖尿病伴肥胖代谢指标的影响	刘桐伊	华北理工大学	硕士	2019	3	159	原版阅读      CNKI AI阅读
546	岭南地区超重/肥胖患者中医体质特点探究	梁烨朗	广州中医药大学	硕士	2019	11	228	原版阅读      CNKI AI阅读
547	电针结合耳压治疗胃肠实热型肥胖的临床研究	方玉文	南京中医药大学	硕士	2019	2	266	原版阅读      CNKI AI阅读
548	针灸治疗肥胖型多囊卵巢综合征（痰湿证）的正交设计试验	张瑞	南京中医药大学	硕士	2019	7	442	原版阅读      CNKI AI阅读
549	俞募埋线治疗脾虚湿盛腹型肥胖临床疗效研究	金煜昊	云南中医药大学	硕士	2019	10	341	原版阅读      CNKI AI阅读
550	运动联合中药治疗肥胖型多囊卵巢综合征的临床研究	狄晓倩	河北中医学院	硕士	2019	3	247	原版阅读      CNKI AI阅读
