	篇名	作者	刊名	发表时间	被引	下载	操作
536	基于Citespace的中医隐喻认知研究的热点与前沿分析(1990-2021)	刘庆华 贾春华	世界科学技术-中医药现代化	2023-01-30 13:40	9	1056	HTML阅读      CNKI AI阅读
537	基于CiteSpace的中医学与APP结合发展的可视化研究	宋瑜 石文 张静宇 顾志霞 李易播 申肖强 郭鑫瑶	湖南中医杂志	2023-01-28	1	251	HTML阅读      CNKI AI阅读
538	基于CNKI数据库中医药治疗肝纤维化相关研究的可视化分析	郭紫薇 张嘉鑫 李硕 靳茜 叶永安	中西医结合肝病杂志	2023-01-28	2	504	HTML阅读      CNKI AI阅读
539	基于CiteSpace的中医适宜技术治疗围绝经期失眠的可视化分析	韩倩楠 陈必慧 朱海利	中医药导报	2023-01-28	9	936	HTML阅读      CNKI AI阅读
540	基于CiteSpace的中医药治疗肠易激综合征的可视化分析	张卓然 何新 陈玥 邓金燕 李悦 玄志豪 皮珊珊 杜宏波	中医药导报	2023-01-28	9	852	HTML阅读      CNKI AI阅读
541	基于VOSviewer、CiteSpace知识图谱的中医药与中西医结合治疗幽门螺杆菌的可视化分析	叶苏漫 叶晖 史宗明 吕显威 肖惠霞 李程程 王自成 张学智	北京中医药	2023-01-25	4	738	HTML阅读      CNKI AI阅读
542	基于CiteSpace的中医药治疗围绝经期综合征的可视化分析	王天琳 胡诗宛 赵林华 张伟	中国医药导报	2023-01-25	6	573	HTML阅读      CNKI AI阅读
543	基于Cite Space的中医药和凝血指标研究的文献计量学分析	徐佳 李文晴 李琦	标记免疫分析与临床	2023-01-25	1	121	HTML阅读      CNKI AI阅读
544	基于CiteSpace的艾灸治疗类风湿关节炎常用腧穴的可视化分析	华丽江山 刘婷 徐骁 孙秋华	浙江中医药大学学报	2023-01-20	6	527	HTML阅读      CNKI AI阅读
545	基于CiteSpace的舌诊仪研究现状可视化分析	朱青青 周宗慧 孙璇 田春颖 王东军 王泓午	西部中医药	2023-01-15	4	524	HTML阅读      CNKI AI阅读
546	基于CiteSpace可视化分析中医药领域儿童反复呼吸道感染研究热点和趋势	李阳滔 郭素香 陈慧	中国中医急症	2023-01-15	11	383	HTML阅读      CNKI AI阅读
547	基于核心期刊传统中医推拿研究热点趋势及展望的CiteSpace可视化分析	商强强 姚俊杰 王宇峰 栗嘉徽 刘畅 庞婷婷 丛德毓	实用临床医药杂志	2023-01-08	4	470	HTML阅读      CNKI AI阅读
548	帕金森病中医药研究的现状与趋势分析	叶文慧 宋咏梅	山东中医杂志	2023-01-05	8	916	HTML阅读      CNKI AI阅读
549	名老中医学术思想传承研究现存问题及对策	王艺娇 邵明义 符宇 王振 赵瑞霞 高豪 刘小雅	中华中医药杂志	2023-01-01	15	1559	HTML阅读      CNKI AI阅读
550	近20年中医药治疗小儿肺炎支原体肺炎的知识图谱可视化分析	邬霄霞 李焕敏 李艳娇 孙丹 李新民	中医药导报	2022-12-28	20	563	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
551	基于CiteSpace对中医药治疗子宫肌瘤的可视化分析	贺雅洁 王延博 杨硕	世界中西医结合杂志	2022-12-28	9	717	HTML阅读      CNKI AI阅读
552	基于CiteSpace对面瘫中医护理相关文献的可视化分析	赵海蓉 王波	循证护理	2022-12-25	5	650	HTML阅读      CNKI AI阅读
553	基于科技成果查新的中医药创新发展态势可视化分析	陆沈羿 孟凡红 甄思圆 熊婕 李海燕	医学信息学杂志	2022-12-25	3	191	原版阅读      CNKI AI阅读
554	基于CiteSpace软件研究中医药防治老年高血压的可视化分析	武子健	中西医结合心脑血管病杂志	2022-12-25	3	434	HTML阅读      CNKI AI阅读
555	基于CiteSpace对青藤碱在中医药研究应用现状的可视化分析	张子旋 安逸 张馨文 赵鑫 张解玉 赵珈禾 曹炜	中国医药导报	2022-12-25	6	240	HTML阅读      CNKI AI阅读
556	手法复位小夹板固定治疗桡骨远端骨折的可视化分析	陈天鑫 张智龙 杨胜平 朱瑜琪	中国医药导报	2022-12-25	17	267	HTML阅读      CNKI AI阅读
557	基于VOSviewer与CiteSpace的中西医治疗婴儿痉挛症的可视化分析	安子萌 付乾芳 陈朝远 王贺昱 张喜莲	中国医药导报	2022-12-25		296	HTML阅读      CNKI AI阅读
558	中医药防治结直肠息肉研究文献可视化分析	姜芸 袁润 雷沥 曾译贤 李华山	中国中医药信息杂志	2022-12-23 10:18	8	791	HTML阅读      CNKI AI阅读
559	血府逐瘀汤研究文献可视化分析	康焱红 王金星 方芳 夏青青 陈偶英 曾勇	中国中医药信息杂志	2022-12-22 16:32	13	1346	HTML阅读      CNKI AI阅读
560	基于Citespace的中医药治疗慢性心力衰竭可视化分析	廉坤 廖晓倩 谈宇权 胡志希	中国中医药图书情报杂志	2022-12-21	5	897	HTML阅读      CNKI AI阅读
561	基于CiteSpace中医药治疗放射性肺损伤的可视化分析	张静娴 易丹 李小江	中国民族民间医药	2022-12-15	1	231	HTML阅读      CNKI AI阅读
562	中医药抗肿瘤血管生成的CiteSpace知识图谱可视化分析	高朗 陈小芳 邓兴华 覃鹏 蔡政 刘红英	云南中医学院学报	2022-12-15	3	408	HTML阅读      CNKI AI阅读
563	基于CiteSpace的中医药领域中风后失眠研究热点和趋势分析	蓝百鑫 莫雪妮 马威 刘姣 刘娜 金小钰	中国医药导报	2022-12-15	4	460	HTML阅读      CNKI AI阅读
564	基于CiteSpace的中医软坚散结法的可视化分析	李思婷 王志国	中国医药导报	2022-12-15	1	277	HTML阅读      CNKI AI阅读
565	如意金黄散研究20年——基于CiteSpace的文献计量与知识图谱可视化分析	王虎城 吴建华 吴柄毅 鞠振国 李楠 庞稳泰	中医外治杂志	2022-12-15	3	305	HTML阅读      CNKI AI阅读
566	2012—2021年国家自然科学基金脑卒中中医内科研究领域申请与资助分析——基于 CiteSpace的可视化分析	徐鹏 赵京霞 高铸烨 张冬梅 黄琳 叶涛 袁恺 毕明刚	长春中医药大学学报	2022-12-08	10	652	HTML阅读      CNKI AI阅读
567	近十年中医药治疗阿尔茨海默病研究的可视化分析	李雪 肖凯文 陈燕清 黄可 薛晓晨 杨春杰 贺文彬 秦亚莉	中国中药杂志	2022-12-07 16:38	17	2875	HTML阅读      CNKI AI阅读
568	基于VOSviewer和CiteSpace的中医药诊治强直性脊柱炎知识图谱可视化分析	官美惠 黄艺晨 韩婷芬 谢志军 孙静	浙江中医药大学学报	2022-12-07	2	1175	HTML阅读      CNKI AI阅读
569	基于CiteSpace和VOSviewer知识谱图的寒湿痹阻证研究热点及趋势分析	路荣荣 封雪 曹越 雷晓蕾 李茹超 王永辉 刘必旺	中国医药导报	2022-12-05	2	248	HTML阅读      CNKI AI阅读
570	基于知识图谱分析中医药诊治股骨头坏死的研究现状和发展趋势	杨雷 郭彦涛 杨少锋 聂颖 马露	中国医药导报	2022-12-05	2	200	HTML阅读      CNKI AI阅读
571	基于CiteSpace研究中医药治疗冠心病合并高血压可视化分析	史海蛟 丁莉莉 杨珺涵 张明雪	辽宁中医药大学学报	2022-12-05	10	959	HTML阅读      CNKI AI阅读
572	基于CiteSpace中医外治法治疗功能性便秘的可视化分析	陈锡 于永铎 陈萌	实用中医内科杂志	2022-12-01 10:50	6	1306	HTML阅读      CNKI AI阅读
573	基于CiteSpace可视化分析中医药领域淋巴瘤的研究热点与趋势	韩宝瑾 于惠博 任似梦 金嘉悦 刘杰	中医药导报	2022-11-28	6	742	HTML阅读      CNKI AI阅读
574	基于CiteSpace的小儿穴位敷贴应用研究的可视化分析	胡玲 谷晓玲 陈芳琳 田华雨 陈红波 汪张毅	世界中西医结合杂志	2022-11-28	6	371	HTML阅读      CNKI AI阅读
575	基于CiteSpace可视化软件的中医药治疗强直性脊柱炎研究现状及趋势分析	王焕勇 刘立志 徐利飞	风湿病与关节炎	2022-11-28	3	552	HTML阅读      CNKI AI阅读
576	基于CiteSpace可视化分析中医药治疗胸腰椎压缩性骨折的研究热点及方向	卢火炎 耿鹏展 代也 程晓月 郭然 赵若琦 师梦雅 赵建 王鹏	中国医药导报	2022-11-25	5	430	HTML阅读      CNKI AI阅读
577	基于CiteSpace的中医药防治强直性脊柱炎可视化分析	高瑞永 王煜东 金柱 刘高卿 孙明帅 汪利合	中国医药导报	2022-11-25	2	495	HTML阅读      CNKI AI阅读
578	基于CiteSpace的乳腺癌中医相关研究可视化分析	赵啸虎 王颖蕊 慕岳峻 谭松 侯爱画	中医肿瘤学杂志	2022-11-25	2	470	HTML阅读      CNKI AI阅读
579	中药泽泻研究进展的CiteSpace知识图谱分析	王艺娱 林龙 赵璐璐 先蕊 兰志琼 李敏	中药与临床	2022-11-25	2	388	HTML阅读      CNKI AI阅读
580	基于Citespace中医药治疗胃食管反流病相关研究的可视化分析	殷江龙 彭卓嵛 石林韬 陈楚琴 陈月桥 李桂贤	实用临床医药杂志	2022-11-23	7	563	HTML阅读      CNKI AI阅读
581	2001年至2021年中医药防治鼻咽癌的文献计量学分析	曾辉 朱镇华	湖南中医药大学学报	2022-11-23	6	626	HTML阅读      CNKI AI阅读
582	基于CiteSpace的三焦辨证研究现状与发展趋势分析	潘赐明 姜楠 张书涵 李仪杰 刘宗雳 张步飞 董昌武	实用中医内科杂志	2022-11-21 07:00	9	473	HTML阅读      CNKI AI阅读
583	基于CiteSpace分析我国2002年-2022年中医五音研究热点及趋势	刘娜 李芳 曹梦洁 郭金晶 张卿瑾 谢学娟 赵文静 郭少凡	大众科技	2022-11-20	2	223	HTML阅读      CNKI AI阅读
584	高血压病肝阳上亢证研究现状与趋势定性定量分析	房钰擎 王宁 宋咏梅	现代中医药	2022-11-20	3	314	HTML阅读      CNKI AI阅读
585	基于Citespace解析网络药理学在中医药领域的研究热点及可视化分析	沈浮 刘琴 赵昱东 夏雨 陈苇 邝高艳 邓博	中国中西医结合杂志	2022-11-18 14:52	9	1641	HTML阅读      CNKI AI阅读
586	基于文献计量和知识图谱的儿童中医体质学说可视化分析	王莲玉 钟文婷 颜莹 杨京华	世界科学技术-中医药现代化	2022-11-17 17:57	5	1092	HTML阅读      CNKI AI阅读
587	基于CiteSpace的我国中医传统功法治疗腰椎间盘突出症可视化分析	戴文昊 郭冰清 解强 刘亦冰 常俊杰 高俊 张曦	中国医药导报	2022-11-15	12	479	HTML阅读      CNKI AI阅读
588	基于CiteSpace的中医治疗乳腺癌的知识图谱可视化分析	赖琦 谢丹 戴韫	西部中医药	2022-11-15	2	399	HTML阅读      CNKI AI阅读
589	基于CiteSpace的中医药治疗便秘的知识图谱可视化分析 增强出版	李硕 孙悦阳 樊景春 李越峰 赵林华 杨秀娟 仝小林	中国实验方剂学杂志	2022-11-11 17:32	29	5539	HTML阅读      CNKI AI阅读
590	基于CiteSpace的淫羊藿研究进展的可视化分析	赵芸 刘欣 孟园 李海田 戴方圆 郝千莹 吴琼	中西医结合心脑血管病杂志	2022-11-10	10	627	HTML阅读      CNKI AI阅读
591	基于CiteSpace的循证中医药研究知识图谱分析	熊敏 周静威 刘雪寒 薛雪 刘建平	现代中医临床	2022-11-08 16:34	6	1191	HTML阅读      CNKI AI阅读
592	中医药治疗肠易激综合征的CiteSpace可视化分析	程新悦 吴帮启 彭茂菡 丁一 韩林 王旭慧	山西中医药大学学报	2022-10-28	1	211	HTML阅读      CNKI AI阅读
593	基于知识图谱的中医药治疗盆腔炎性疾病后遗症现状分析	余阳祺 林洁	中医药导报	2022-10-28	6	569	HTML阅读      CNKI AI阅读
594	基于CiteSpace的中医治疗复发性流产可视化分析	陈紫薇 任梦雪 郭利 周琳 陈瑞雪	世界中西医结合杂志	2022-10-28	3	624	HTML阅读      CNKI AI阅读
595	运用CiteSpace探讨中医基于脑肠互动理论对功能性胃肠病的研究	杨煜晗 王彦刚 马立亚 申鹏鹏 赵悦佳	世界中西医结合杂志	2022-10-28	5	610	HTML阅读      CNKI AI阅读
596	基于文献计量学的子宫肌瘤中医药研究的知识图谱可视化分析	方小婷 王国华 张宝颐 吕晓敏 黄詺茹 刘入嘉 张明玥 谢毓滢 和翔宇	世界中西医结合杂志	2022-10-28	5	708	HTML阅读      CNKI AI阅读
597	近二十年中医药领域肠道菌群研究的CiteSpace知识图谱分析	阳晶晶 蔡昱哲 刘艺璇 罗政 邓奕辉 李定祥	中国中药杂志	2022-10-27 13:37	10	2688	HTML阅读      CNKI AI阅读
598	基于CiteSpace的中医药治疗抽动障碍可视化分析	荆晨阳 王晓燕 孔令霞 张艳梅 杨亚峰 赵丽	中国医药导报	2022-10-25	1	623	HTML阅读      CNKI AI阅读
599	基于CiteSpace的中医气功临床研究知识图谱可视化分析	张田 张海波 李新 张小豪 杨秀明	中国医药导报	2022-10-25	2	331	HTML阅读      CNKI AI阅读
600	基于CiteSpace中医药防治脑出血知识图谱的可视化分析	王豪杰 夏雨 孙豪娴 曾小珂 孙贵香	中西医结合心脑血管病杂志	2022-10-25	3	520	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
601	基于CiteSpace的视网膜静脉阻塞中医药治疗文献可视化分析	方圆 刘光辉 郑永征 潘铭东	中国中医眼科杂志	2022-10-20	3	875	HTML阅读      CNKI AI阅读
602	基于CiteSpace的中医药治疗抽动障碍研究的可视化分析	闫雨柔 骆长永 张蔷 吕题颖 寿松亭 王俊宏	中国医药导报	2022-10-15	2	471	HTML阅读      CNKI AI阅读
603	基于VOSviewer和CiteSpace中医药领域细胞焦亡的知识图谱分析	高风 郭丽君 张宏伟 王亦菲 任高灿 马晓昌	中国中药杂志	2022-10-14 15:42	18	2647	HTML阅读      CNKI AI阅读
604	基于Citespace中医药治疗慢性阻塞性肺疾病急性加重期可视化图谱分析	谢丽莹 麦彤 韩云	河南中医	2022-10-11	4	1162	HTML阅读      CNKI AI阅读
605	国内“手法治疗退行性腰椎滑脱症”的知识图谱可视化分析	韩涛 于杰 朱立国 魏戌 冯敏山 王尚全	中华全科医学	2022-09-30 13:01	1	510	HTML阅读      CNKI AI阅读
606	基于CiteSpace和VOSviewer对血瘀证血小板研究的可视化分析	詹敏 刘建勋 孙林娟	世界科学技术-中医药现代化	2022-09-28 12:36	14	1929	HTML阅读      CNKI AI阅读
607	基于VOSviewer和CiteSpace的近40年中医药干预强直性脊柱炎知识图谱分析	万东平 张增瑞 董琪 昝强	中医药导报	2022-09-28	8	860	HTML阅读      CNKI AI阅读
608	基于VOSviewer和CiteSpace的舌诊客观化知识图谱可视化分析	张继伟 李秋艳 王妙然 张蕊 顾继昱 倪恬 王旭杰 唐威 张雪雪	世界中西医结合杂志	2022-09-28	12	745	HTML阅读      CNKI AI阅读
609	基于CiteSpace的中医药治疗感染性腹泻知识图谱可视化分析	陈乾 王丽辉	湖南中医杂志	2022-09-26	2	676	HTML阅读      CNKI AI阅读
610	2000-2021年中医药治疗糖尿病足溃疡文献可视化分析	沈稼轩 宋渊 梁旭东 张团庄 乔靖 朱克玉	中国中医药图书情报杂志	2022-09-22	6	737	HTML阅读      CNKI AI阅读
611	2011-2021年我国中医药文化对外传播研究进展分析	孙迪 宋佳媛 郭力铭 邰东梅	中国中医药图书情报杂志	2022-09-22	12	1258	HTML阅读      CNKI AI阅读
612	基于ESI指标结合复杂网络对中医药大学中医学学科评价研究	陈丽平 卞华 张瓅方 杨淑慧 庞立业	国医论坛	2022-09-20	1	161	HTML阅读      CNKI AI阅读
613	基于CiteSpace的中医药论治卵巢储备功能下降可视化分析	付寒雪 黄文玲 赵嘉静	辽宁中医杂志	2022-09-18	3	921	HTML阅读      CNKI AI阅读
614	中医药治疗免疫性血小板减少症的研究热点与趋势可视化分析（英文） OA	高姚 伍振辉 吴敏 Abid Naeem 李位智子 张大玲 刘凡 曾英坚	Digital Chinese Medicine	2022-09-15		338	HTML阅读      CNKI AI阅读
615	基于CiteSpace中医药治疗慢性盆腔痛知识图谱的可视化分析	赵嘉静 黄文玲 付寒雪	中国医药导报	2022-09-15	3	662	HTML阅读      CNKI AI阅读
616	近10年中医外治法治疗类风湿关节炎的知识图谱可视化分析	王秋苑 刘又文 岳辰 张雪	中医药导报	2022-09-13 09:05	16	1288	HTML阅读      CNKI AI阅读
617	基于CiteSpace的中医药治疗肝癌知识图谱分析	赵越 王文萍 王华伟 曹莹	辽宁中医杂志	2022-09-07 13:21	4	1456	HTML阅读      CNKI AI阅读
618	2010-2022年中医药治疗慢性肾小球肾炎研究文献可视化分析	郭璐萱 刘洋 纪越 付宝慧 王冠然 郑荣镡 郝娜 杨洪涛	中国中医药信息杂志	2022-09-02 14:37	9	1180	HTML阅读      CNKI AI阅读
619	基于CiteSpace的中医药防治肺结节知识图谱可视化分析	彭小芸 任益锋 董敬 付西 由凤鸣	中国中药杂志	2022-08-30 08:22	25	4406	HTML阅读      CNKI AI阅读
620	基于CiteSpace的“互联网+中医药”研究可视化分析	周冠双 汪晨 种潼薇 赵宏扬 时生辉 郑秋莹	中医药导报	2022-08-28	13	1269	HTML阅读      CNKI AI阅读
621	基于CiteSpace的中医药治疗支气管哮喘可视化分析	林可欣 王钇杰 柳斌 程燕 刘璐佳 王有鹏	中医药导报	2022-08-28	4	951	HTML阅读      CNKI AI阅读
622	基于CiteSpace可视化分析中医药治疗室性早搏研究热点及演变趋势	张文杰 查玉玲 李军 武佶 张印明	中医药导报	2022-08-28	10	601	HTML阅读      CNKI AI阅读
623	基于CiteSpace软件的证候类中药新药研究可视化分析	何浩强 惠小珊 周思远 潘菊华 申琳	世界中西医结合杂志	2022-08-28		567	HTML阅读      CNKI AI阅读
624	基于CiteSpace对我国近10年推拿治疗便秘的可视化分析	崔小琴 王怡杰 马雪萍 张志梁 张晓岚	中国现代医生	2022-08-28	4	550	HTML阅读      CNKI AI阅读
