	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
850	阔叶十大功劳降胆固醇活性成分及金龟子绿僵菌化学成分的研究	王乐	暨南大学	硕士	2014	1	264	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
851	黄连生物碱降糖作用及构效关系初探	王德珍	西南大学	硕士	2014	26	1045	原版阅读      CNKI AI阅读
852	田黄片有效成分（群）治疗脂肪肝的效应和机理研究	范辉	南方医科大学	博士	2014		398	原版阅读      CNKI AI阅读
853	小檗碱干预非酒精性脂肪性肝炎（NASH）的分子机制研究	张慧芹	北京中医药大学	博士	2014	10	2691	原版阅读      CNKI AI阅读
854	盐酸小檗碱对乳腺癌细胞的生长抑制作用及其机制研究	温纯洁	重庆医科大学	博士	2014	18	1387	原版阅读      CNKI AI阅读
855	基于治疗NAFLD的三味中药及有效成分的活性研究	匡双玉	湖南中医药大学	博士	2014	9	858	原版阅读      CNKI AI阅读
856	丙酸杆菌的耐药研究及盐酸小檗碱对耐药株的抑制机制研究	曾宪玉	湖南中医药大学	博士	2014	5	412	原版阅读      CNKI AI阅读
857	葛根芩连汤及其有效组分干预非酒精性脂肪性肝炎PPARγ的作用机制研究	王允亮	北京中医药大学	博士	2014	25	3931	原版阅读      CNKI AI阅读
858	盐酸小檗碱对小鼠细胞DNA损伤和氧化性损伤的研究	王璐	辽宁大学	硕士	2014		144	原版阅读      CNKI AI阅读
859	PGP9.5、GFAP、GDNF在NSAIDs肠病大鼠中的表达及黄连素保护机制的研究	袁媛	浙江中医药大学	硕士	2014		96	原版阅读      CNKI AI阅读
860	连芩解毒颗粒制备工艺及质量标准研究	吴萍	湖南中医药大学	硕士	2014	1	491	原版阅读      CNKI AI阅读
861	葛根素、盐酸小檗碱和芍药苷定量转运机制及线性呋喃类香豆素对其在Caco-2细胞模型中转运影响的研究	朱梦良	江西中医药大学	硕士	2014	1	224	原版阅读      CNKI AI阅读
862	雷公藤多苷联合小檗碱对糖尿病肾病大鼠肾小球内皮细胞相关因子的干预研究	王晓宇	天津医科大学	硕士	2014		158	原版阅读      CNKI AI阅读
863	雷公藤多苷联合小檗碱对糖尿病肾病大鼠肾小球基底膜相关因子的干预研究	王珊珊	天津医科大学	硕士	2014		105	原版阅读      CNKI AI阅读
864	新型复方植物杀菌消毒剂的研究	黄艳翠	天津大学	硕士	2014	11	920	原版阅读      CNKI AI阅读
865	小檗碱抗单纯疱疹病毒活性的初步研究	宋思维	南京大学	硕士	2014	8	293	原版阅读      CNKI AI阅读
866	分子靶向药物吉非替尼和埃克替尼所致腹泻作用的比较及分子机制	洪少成	南京大学	硕士	2014	9	424	原版阅读      CNKI AI阅读
867	小檗碱通过抑制NLRP3炎症小体活化改善小鼠胰岛素抵抗	周航	南京大学	硕士	2014		459	原版阅读      CNKI AI阅读
868	小檗碱对大鼠肝脏冷缺血再灌注损伤的保护作用	周园	天津医科大学	硕士	2014	3	98	原版阅读      CNKI AI阅读
869	大肠癌癌变过程中E-cadherin，PAR-3表达变化及其microRNA调控的中药干预	苏孟	广州中医药大学	硕士	2014		232	原版阅读      CNKI AI阅读
870	中西药组合对多重耐药鲍曼不动杆菌体外抑菌活性的研究	张晓玲	济南大学	硕士	2014	15	867	原版阅读      CNKI AI阅读
871	基于功能核酸的新型荧光传感器研究	许丽君	郑州大学	硕士	2014	2	245	原版阅读      CNKI AI阅读
872	石蒜碱和小檗碱对植物病原真菌抑制作用及其抑菌生理指标分析	任伟	河南农业大学	硕士	2014	35	855	原版阅读      CNKI AI阅读
873	滋肾丸活性成分的吸收特征和体内变化过程研究	刘晓卫	第二军医大学	硕士	2014	7	407	原版阅读      CNKI AI阅读
874	协同氟康唑抗耐药真菌光亲和探针的设计合成及活性研究	田淑娟	第二军医大学	硕士	2014	2	316	原版阅读      CNKI AI阅读
875	黄连须质量标准研究和黄连及其炮制品质量标准提升	孙建彬	成都中医药大学	硕士	2014	4	543	原版阅读      CNKI AI阅读
876	突出药效学的中药质量与日服用次数研究	白金霞	成都中医药大学	硕士	2014		159	原版阅读      CNKI AI阅读
877	通络糖泰颗粒药学部分研究	胡清	成都中医药大学	硕士	2014	1	108	原版阅读      CNKI AI阅读
878	小檗碱对巨噬细胞泡沫化的影响及其与ACE2-Ang-(1-7)-MAS轴相关性研究	张琴	重庆医科大学	硕士	2014	4	190	原版阅读      CNKI AI阅读
879	载白蛋白纳米粒的温敏原位凝胶给药系统的研究	娄杰	重庆医科大学	硕士	2014	2	619	原版阅读      CNKI AI阅读
880	基于水凝胶复合织物新载体的中药有效成分缓释给药系统的研究	徐和	成都中医药大学	硕士	2014	4	524	原版阅读      CNKI AI阅读
881	一测多评技术在银杏叶提取物及金鸡制剂中的应用研究	杨艳模	湖南中医药大学	硕士	2014	3	697	原版阅读      CNKI AI阅读
882	不同剂量小檗碱对酒精性心肌损伤大鼠的保护作用研究	刘慧	湖南师范大学	硕士	2014	2	143	原版阅读      CNKI AI阅读
883	盐酸小檗碱诱导人脑胶质瘤细胞U251凋亡及其与HERG钾离子通道的表达相关研究	杨昊	苏州大学	硕士	2014	2	172	原版阅读      CNKI AI阅读
884	血清FGF21与大鼠肝脏脂肪变及胰岛素抵抗程度的关系	李婷	山西医科大学	硕士	2014		342	原版阅读      CNKI AI阅读
885	小檗碱对脂多糖诱导的THP-1细胞相关炎症因子的影响	刘司漩	山西医科大学	硕士	2014	6	390	原版阅读      CNKI AI阅读
886	苍柏纳米乳在体肠吸收及药动学研究	赵文龙	河南中医学院	硕士	2014	6	598	原版阅读      CNKI AI阅读
887	大肠肿瘤发生中肠菌紊乱及小檗碱干预的研究	于亚男	上海交通大学	博士	2014	14	831	原版阅读      CNKI AI阅读
888	小檗碱烷基化衍生物的合成及其与小檗碱药理活性的比较	陈超	西南大学	硕士	2014	9	841	原版阅读      CNKI AI阅读
889	五参二连颗粒的制备工艺和质量标准研究	陈永刚	山东大学	硕士	2014	3	636	原版阅读      CNKI AI阅读
890	妇炎康凝胶的药学研究	杨锐	南京中医药大学	硕士	2014		136	原版阅读      CNKI AI阅读
891	肠康颗粒的药学研究	华俊磊	南京中医药大学	硕士	2014	1	244	原版阅读      CNKI AI阅读
892	盐酸小檗碱普通及长循环脂质体的初步研究	王兴慧	南京中医药大学	硕士	2014	2	380	原版阅读      CNKI AI阅读
893	基于系统模拟的黄连解毒汤抗脑缺血的整合PK-PD研究	王文哲	南京中医药大学	硕士	2014	1	200	原版阅读      CNKI AI阅读
894	小檗碱和人参皂苷Rb1合用对脂肪细胞炎症因子表达和炎症信号通路的影响	张红霞	南京中医药大学	硕士	2014	10	979	原版阅读      CNKI AI阅读
895	黄芩—黄连药对与肠道菌群的相互作用研究	徐君	南京中医药大学	硕士	2014	132	7534	原版阅读      CNKI AI阅读
896	舒乐洗剂质量标准及治疗VVC效应机制初步研究	王慧	南京中医药大学	硕士	2014	2	433	原版阅读      CNKI AI阅读
897	小檗碱在儿童耐药急性淋巴细胞白血病靶向治疗中的作用机制研究	刘健	华中科技大学	博士	2014	1	203	原版阅读      CNKI AI阅读
898	小檗碱通过靶向AKR1C3抑制去势抵抗性前列腺癌细胞生长的作用及机制研究	田原僮	吉林大学	博士	2014	8	898	原版阅读      CNKI AI阅读
899	多核分子双黄苷、双黄素的合成及其抗菌、抗炎活性研究	刘丽贤	广州中医药大学	硕士	2014		130	原版阅读      CNKI AI阅读
900	盐酸小檗碱抑制胆囊结石形成机制的研究	王启晗	上海交通大学	硕士	2017		131	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
901	口疡清微丸制备工艺及质量标准研究	黄育生	广州中医药大学	硕士	2014		310	原版阅读      CNKI AI阅读
902	胆酸偶联小檗碱衍生物A4，B4的药代动力学研究	华长龙	东北林业大学	硕士	2014	1	107	原版阅读      CNKI AI阅读
903	柴芍肠宁颗粒药学研究	刘耀	贵阳中医学院	硕士	2014		421	原版阅读      CNKI AI阅读
904	以四羟基原小檗碱为前体的新化合物合成与研究	李小龙	长春工业大学	硕士	2014	1	248	原版阅读      CNKI AI阅读
905	GLUT4和UCP2在非酒精性脂肪性肝病中的作用以及小檗碱对GLUT4和UCP2表达的影响	吴晓艳	泸州医学院	硕士	2014	1	142	原版阅读      CNKI AI阅读
906	黄柏不同规格、不同炮制品内在质量研究	吴珊珊	成都中医药大学	硕士	2014	4	620	原版阅读      CNKI AI阅读
907	四种中药制剂在大鼠体内的代谢研究	陈小双	昆明理工大学	硕士	2014	2	461	原版阅读      CNKI AI阅读
908	黄连须中生物碱含量测定及分布研究	高倩	西南大学	硕士	2014	12	1455	原版阅读      CNKI AI阅读
909	8-己基小檗碱与氟喹诺酮类药物联用抗金色葡萄球菌作用及增效机理研究	代姝	西南大学	硕士	2014	2	381	原版阅读      CNKI AI阅读
910	内脏脂肪素激活MAPKs通路参与动脉粥样硬化形成及小檗碱的干预研究	万强	南方医科大学	博士	2014	11	1127	原版阅读      CNKI AI阅读
911	三黄方的药代动力学与调脂降糖作用研究	刘庆丰	复旦大学	博士	2014	2	315	原版阅读      CNKI AI阅读
912	小檗碱、地西他滨去甲基化调控急性髓系白血病细胞的逆转耐药作用及其机制探讨	王治香	南方医科大学	博士	2014	2	778	原版阅读      CNKI AI阅读
913	灵光丹质量标准的研究	王晓龙	山西医科大学	硕士	2014		209	原版阅读      CNKI AI阅读
914	四氢小檗碱类化合物的荧光性质及其分析方法研究	穆园园	河北师范大学	硕士	2014	6	435	原版阅读      CNKI AI阅读
915	小檗碱类化合物的荧光性质及其分析方法研究	乔江鹏	河北师范大学	硕士	2014	6	644	原版阅读      CNKI AI阅读
916	小檗碱对脑缺血损伤神经元G0/G1期的影响及其机制	柴玉爽	清华大学	博士	2014	1	516	原版阅读      CNKI AI阅读
917	小檗碱缓解伊立替康对肠道免疫系统损伤的机制研究	刘丹	大连医科大学	博士	2014	18	1406	原版阅读      CNKI AI阅读
918	药材不同粉碎粒度栀子金花丸与分散片溶出度比较及其多指标成分含量测定的方法建立	陈威	承德医学院	硕士	2014		131	原版阅读      CNKI AI阅读
919	稳定表达hOCT2细胞模型的构建及OCT2在抗抑郁机制中的作用	王凯	浙江大学	硕士	2014	2	734	原版阅读      CNKI AI阅读
920	小檗碱与肝药酶的相互作用及其代谢机制研究	陈健龙	长春中医药大学	硕士	2014	3	548	原版阅读      CNKI AI阅读
921	丝织物生态加工技术及其性能研究	陈伟	苏州大学	硕士	2014	5	328	原版阅读      CNKI AI阅读
922	小檗碱对糖尿病大鼠胃肠神经系统损伤的改善作用及相关机制	郝璋森	河北医科大学	硕士	2014	5	211	原版阅读      CNKI AI阅读
923	β-环糊精及其衍生物包合阿维菌素的研究	郭宁	陕西科技大学	硕士	2014	6	561	原版阅读      CNKI AI阅读
924	多位点微透析采样技术动态监测大鼠体内的三妙丸中生物碱含量的方法学研究	欧咏	安徽医科大学	硕士	2014	15	663	原版阅读      CNKI AI阅读
925	小檗碱通过EP4-Gαs-cAMP信号通路对不同阶段糖尿病肾病大鼠肾脏的保护作用	杨洋	安徽医科大学	硕士	2014		248	原版阅读      CNKI AI阅读
926	黄柏中小檗碱与黄柏碱的提取工艺研究	陈阳峰	湖南农业大学	硕士	2013	4	1708	原版阅读      CNKI AI阅读
927	SPRC等创新药物质量控制中分析方法的研究与应用	赵美艳	复旦大学	硕士	2013		324	原版阅读      CNKI AI阅读
928	妇炎平洗剂制备工艺及质量标准研究	路营营	山东大学	硕士	2013	1	520	原版阅读      CNKI AI阅读
929	原小檗碱类生物碱与CYP450和药物转运体的相互作用研究	孙思源	浙江大学	博士	2013	10	1878	原版阅读      CNKI AI阅读
930	基于纳米纤维素和脂质体的小檗碱缓释系统	黄琳	华中科技大学	博士	2013	1	861	原版阅读      CNKI AI阅读
931	PPARs筛选模型的构建及抗糖尿病天然药物活性成分的筛选	林叶新	重庆大学	博士	2013	12	2009	原版阅读      CNKI AI阅读
932	基于亚锡还原作用的纳米粒子的合成与光谱分析应用研究	张萍萍	湖南科技大学	硕士	2013	1	67	原版阅读      CNKI AI阅读
933	黄柏中盐酸小檗碱超声波经皮渗透量实验研究	刘晓蕾	山西大学	硕士	2013	3	408	原版阅读      CNKI AI阅读
934	毛细管电泳技术在复杂药物体系与药物质量控制中的应用研究	王辉	广西民族大学	硕士	2013		140	原版阅读      CNKI AI阅读
935	黄柏、黄连体内外成分对比研究	李媛	黑龙江中医药大学	硕士	2013	16	1062	原版阅读      CNKI AI阅读
936	康妇灵片的质量标准研究	李佳	吉林大学	硕士	2013	1	336	原版阅读      CNKI AI阅读
937	氟康唑和小檗碱的真菌胞内含量及协同抗耐药机制研究	王晓飞	福建中医药大学	硕士	2013	4	463	原版阅读      CNKI AI阅读
938	小檗碱对人卵巢癌细胞的生长抑制作用及其机制研究	徐光伟	山东大学	硕士	2013	16	502	原版阅读      CNKI AI阅读
939	黄连生物碱的安全性评价及8-十六烷基小檗碱分析方法的研究	易骏	西南大学	硕士	2013	10	745	原版阅读      CNKI AI阅读
940	黄连生物碱对线粒体复合物Ⅲ蛋白表达的影响	刘旭晶	西南大学	硕士	2013	3	282	原版阅读      CNKI AI阅读
941	味连须药材的安全性评价	张德周	西南大学	硕士	2013	4	217	原版阅读      CNKI AI阅读
942	黄连生物碱对解偶联蛋白2的影响	舒何晶	西南大学	硕士	2013	1	188	原版阅读      CNKI AI阅读
943	8-烷基小檗碱衍生物降血脂活性及对肝脏LDLR表达的影响	史青	西南大学	硕士	2013	2	314	原版阅读      CNKI AI阅读
944	小檗碱提取物抑制多重耐药大肠埃希菌外排喹诺酮类药物的研究	刘三侠	西南大学	硕士	2013	33	646	原版阅读      CNKI AI阅读
945	广痛消有效成分含量测定及健康人体药代动力学研究	朱莉	北京中医药大学	博士	2013	7	1400	原版阅读      CNKI AI阅读
946	小檗碱抑制高脂诱导的大鼠代谢性内毒素血症及其机制的研究	许建慧	第二军医大学	博士	2013	25	1598	原版阅读      CNKI AI阅读
947	千金降糖方现代提取工艺研究	张科	天津医科大学	硕士	2013	1	147	原版阅读      CNKI AI阅读
948	荧光光谱成像法在中成药质量的应用研究及图像处理程序的设计	梁兰	暨南大学	硕士	2013	1	315	原版阅读      CNKI AI阅读
949	黄连产小檗碱内生真菌的分离鉴定	厉秀秀	西北农林科技大学	硕士	2013	4	459	原版阅读      CNKI AI阅读
950	三黄补凝胶对牙周骨缺损再生和BMP-2表达影响的实验研究	左燕	重庆医科大学	硕士	2013	1	207	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
951	小檗碱抑制HCT116细胞增殖与Wnt/β-catenin信号的关系研究	杨秋珺	重庆医科大学	硕士	2013	4	272	原版阅读      CNKI AI阅读
952	小檗碱对3T3-L1前脂肪细胞分化的调控作用及其与Insig-2基因关系的研究	杨发建	重庆医科大学	硕士	2013		261	原版阅读      CNKI AI阅读
953	小檗碱对AD大鼠认知功能的改善及其机制的研究	蔡吉章	中南大学	硕士	2013	3	326	原版阅读      CNKI AI阅读
954	盐酸小檗碱对Jurkat细胞凋亡及Survivin基因表达的影响	万奔明	中南大学	硕士	2013	5	228	原版阅读      CNKI AI阅读
955	藏药吉尔巴防治糖尿病视网膜病变药效及其机制研究	张燕	成都中医药大学	硕士	2013	6	266	原版阅读      CNKI AI阅读
